customer,customer_country,counterparty,ccy,converted_time,scaled_amount,type_DIVIDEND,type_INTEREST,type_INVESTMENT,type_OTHER,type_PAYMENT,type_TRANSFER,type_TT,counterparty_country_CN,counterparty_country_DE,counterparty_country_FR,counterparty_country_HK,counterparty_country_IN,counterparty_country_JP,counterparty_country_SG,counterparty_country_UK,counterparty_country_US,outside_normal_hrs,customer_local_ccy,no_common_ccy,fraud_flag
C12976926337644,UK,68147528612978,GBP,2021-06-19 02:52:00,-0.0927154046065796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
C12976926337644,UK,68147528612978,GBP,2021-06-27 05:01:02,-0.0925611306492878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
C14368611669296,US,97272147577377,HKD,2021-01-08 16:13:21,-0.034658447081797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,USD,2021-03-11 16:56:46,0.0147565945727511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,97272147577377,BRL,2021-04-11 15:48:57,0.0245699912516982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,97272147577377,BRL,2021-04-23 12:11:33,0.0250791498376341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,97272147577377,USD,2021-05-31 18:46:42,0.0136704155545986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,97272147577377,BRL,2021-06-18 20:19:17,0.024230614016259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,97272147577377,USD,2021-09-12 06:58:21,0.012206721400879,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C14368611669296,US,97272147577377,HKD,2021-10-03 12:56:29,-0.0352237664921992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,HKD,2021-11-02 09:35:08,-0.0346232256275088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,HKD,2021-11-08 12:27:27,-0.0349247196688478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,USD,2021-12-09 04:16:15,0.0127358546270019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C14368611669296,US,97272147577377,BRL,2021-02-16 16:33:57,-0.169651503037868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,97272147577377,USD,2021-05-05 18:21:30,-0.0633767050303058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,97272147577377,HKD,2021-07-09 20:31:42,0.0499996395243552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,USD,2021-07-23 05:06:41,-0.0629812615578329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
C14368611669296,US,97272147577377,CNY,2021-08-11 13:20:09,-0.1751688943173595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,BRL,2021-11-27 13:47:17,-0.1697004906729164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,97272147577377,HKD,2021-11-28 07:25:58,0.0498295438097441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,97272147577377,USD,2021-12-16 17:57:07,-0.0640261435792509,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,97272147577377,USD,2021-07-30 17:00:49,0.9871877336808836,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,87169262386514,USD,2021-01-14 12:52:11,0.0023656718078011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C14368611669296,US,87169262386514,JPY,2021-04-14 17:35:30,-0.1867350439856082,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
C14368611669296,US,87169262386514,EUR,2021-04-22 10:21:43,-0.0386454297748502,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-01-30 16:49:32,-0.0092648564163328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-03-20 12:07:55,-0.0046130569764345,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,USD,2021-03-28 11:28:00,-0.0045175422160233,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,JPY,2021-05-16 15:16:08,-0.0091933769036808,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-06-10 15:05:30,-0.0195983646462638,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-06-17 07:29:44,-0.003280579702309,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,USD,2021-06-26 10:37:38,-0.0037477365224046,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,USD,2021-06-30 18:24:05,-0.0044126305341994,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,JPY,2021-08-24 16:56:51,-0.0091909441149133,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,CNY,2021-08-27 16:20:01,3.486665385408947,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C14368611669296,US,24491887744377,JPY,2021-09-28 13:54:30,-0.0092897476247178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-12-04 13:37:23,-0.0092868467332559,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-12-06 19:09:48,-0.0038631579189663,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,JPY,2021-12-20 19:07:30,-0.0091049376541622,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-11-14 19:14:41,12.521346497943682,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,USD,2021-01-05 14:05:16,-0.0416300651166849,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,JPY,2021-01-28 09:05:45,-0.1013968537455856,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-03-25 11:42:25,-0.1013194009314653,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-05-15 05:37:32,-0.0436091680455169,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
C14368611669296,US,24491887744377,USD,2021-06-09 18:09:21,-0.0416662308997532,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
C14368611669296,US,24491887744377,JPY,2021-07-02 13:32:00,-0.1012553488444128,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-07-28 17:00:23,-0.1013864995746259,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,JPY,2021-08-27 11:01:55,-0.10123276683055,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
C14368611669296,US,24491887744377,USD,2021-11-14 12:48:48,-0.0406580092362148,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,BRL,2021-01-25 18:59:01,-0.1804465627129926,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
C17694553858863,UK,12432156737458,GBP,2021-06-14 12:54:56,0.0229768489415529,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,GBP,2021-02-21 14:11:28,-0.1832258351377579,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-04-05 02:16:34,-0.0016825466654996,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-05-06 23:20:24,-0.1833443773013783,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,GBP,2021-06-08 17:55:30,-0.1832236151150742,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,GBP,2021-06-23 13:55:23,-0.1831453152674035,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-07-05 17:57:07,-0.0010347154846908,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-07-23 18:49:40,-0.0013818760912212,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-07-24 16:31:52,-0.1832262932376768,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-09-26 10:45:50,-0.0029995993877011,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-09-27 10:32:23,-0.0018810257194157,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-10-23 03:36:22,-0.0024411626040151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-01-19 18:16:49,-0.1452522414171315,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-01-31 13:33:37,-0.0555210641949027,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-02-08 11:20:53,-0.0557732973486101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-03-07 21:24:15,-0.1456386310794671,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-03-24 14:09:50,-0.0557422009573565,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-06-24 17:33:42,-0.1456591398604501,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-06-25 19:58:33,-0.0558559840748561,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-08-18 10:50:49,-0.05554458740936,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-09-04 16:03:11,-0.1449307257509985,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-09-24 09:22:31,-0.056409289644876,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,GBP,2021-10-02 12:35:15,-0.1455790076131039,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C17694553858863,UK,12432156737458,GBP,2021-11-03 04:43:49,-0.145975898335118,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
C17694553858863,UK,12432156737458,EUR,2021-11-15 16:42:32,-0.0551756964220629,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,12432156737458,EUR,2021-11-28 12:35:36,-0.05483681994362,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,INR,2021-03-01 09:11:27,-0.1814209325853606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,GBP,2021-03-19 14:29:32,-0.0172431258273693,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,JPY,2021-04-17 13:49:41,-0.0436987441123322,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C17694553858863,UK,35713689319772,GBP,2021-04-24 13:43:23,-0.0166130270081972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,GBP,2021-06-26 15:09:46,-0.0186333886042159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,GBP,2021-07-22 05:49:39,-0.0150853694941463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C17694553858863,UK,35713689319772,GBP,2021-10-07 07:17:25,-0.0147889788466402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,INR,2021-10-24 09:35:11,-0.1814867717443071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,HKD,2021-04-28 10:01:16,-0.1860662206263959,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C17694553858863,UK,35713689319772,GBP,2021-01-08 02:03:21,-0.1731682866575183,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C17694553858863,UK,35713689319772,JPY,2021-01-24 18:27:50,-0.0942363814164454,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C17694553858863,UK,35713689319772,INR,2021-02-09 16:48:46,-0.1802392135834815,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,JPY,2021-04-27 13:11:53,-0.0941922069834595,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C17694553858863,UK,35713689319772,GBP,2021-05-24 18:24:35,-0.1730007278025794,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,INR,2021-06-26 11:18:53,-0.1802391931822706,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,GBP,2021-07-06 17:24:57,-0.172800291468848,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,INR,2021-08-20 14:35:44,-0.1802619750290859,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,GBP,2021-08-25 03:57:49,-0.1731810782167913,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
C17694553858863,UK,35713689319772,JPY,2021-09-15 05:03:35,-0.094246129387059,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C17694553858863,UK,35713689319772,GBP,2021-12-01 17:31:55,-0.1728280593716223,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C17694553858863,UK,35713689319772,INR,2021-12-17 09:36:04,-0.1802588762706063,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C17694553858863,UK,35713689319772,SGD,2021-11-29 10:41:36,-0.1783391024743029,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C17694553858863,UK,22337579725766,GBP,2021-01-15 18:00:05,0.0192600023921537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C17694553858863,UK,22337579725766,GBP,2021-02-28 10:42:56,0.0203114474213162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C17694553858863,UK,22337579725766,GBP,2021-03-23 14:22:18,0.019399053336757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C17694553858863,UK,39759392734937,GBP,2021-01-21 20:55:39,-0.1630868817430424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C17694553858863,UK,39759392734937,GBP,2021-12-06 05:33:16,-0.1620545007181957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
C17694553858863,UK,22337579725766,GBP,2021-07-29 11:38:08,-0.0254078054428561,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C24211332442813,SG,14591928231433,SGD,2021-09-20 10:10:17,-0.0471845569256378,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,HKD,2021-03-06 10:08:46,-0.162016031143835,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
C24211332442813,SG,48523246629825,EUR,2021-04-09 18:10:26,-0.1024963052475574,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,48523246629825,SGD,2021-01-29 23:15:11,0.0324271513590994,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-03-30 20:54:34,0.0324976882368899,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,EUR,2021-05-06 19:04:33,0.0117906912518903,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,48523246629825,SGD,2021-10-15 12:36:22,0.0328819320627634,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-10-16 10:44:37,0.0312516610942143,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-12-04 08:37:05,0.0320944385192409,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,SGD,2021-01-06 15:19:52,-0.0468258591251995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,EUR,2021-01-31 17:19:51,0.0331765697516731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,EUR,2021-02-01 07:56:11,0.0356750998759584,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,SGD,2021-02-05 10:20:33,-0.0480203552818601,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,EUR,2021-02-22 12:02:25,0.0353382635186117,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,SGD,2021-04-22 07:28:51,-0.0475439131287937,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,EUR,2021-04-30 11:31:33,0.0355602348760593,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,SGD,2021-06-03 04:25:15,-0.0473414542931938,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
C24211332442813,SG,14591928231433,SGD,2021-10-08 04:40:21,-0.0465261322614826,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
C24211332442813,SG,14591928231433,SGD,2021-11-18 19:00:40,-0.0475750555773266,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,EUR,2021-11-26 10:20:43,0.037004393324737,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,48523246629825,EUR,2021-04-22 10:51:32,0.0186570897321343,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,48523246629825,EUR,2021-04-28 16:45:06,0.0182030391445353,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,48523246629825,SGD,2021-05-10 06:15:40,-0.1263028801607144,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-05-12 13:17:34,-0.1266649577617688,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-05-17 16:36:01,-0.126904287149543,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,GBP,2021-07-11 11:31:47,0.1610442177806608,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
C24211332442813,SG,48523246629825,SGD,2021-09-17 16:48:14,-0.1274677262483349,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,SGD,2021-11-15 19:33:45,-0.1268479278769337,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,48523246629825,GBP,2021-12-26 17:18:10,0.0475014747672115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
C24211332442813,SG,14591928231433,EUR,2021-02-07 23:25:57,-0.0231766134052304,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,EUR,2021-03-07 14:33:42,-0.0224947802061523,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,GBP,2021-03-19 05:49:30,-0.0007698879834165,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
C24211332442813,SG,14591928231433,EUR,2021-06-10 15:52:34,-0.0230921647562196,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,CNY,2021-07-20 09:57:10,-0.1446792239497931,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
C24211332442813,SG,14591928231433,EUR,2021-08-10 20:09:04,-0.0231748205715398,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
C24211332442813,SG,14591928231433,SGD,2021-09-09 08:26:19,0.0311187734790861,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,GBP,2021-09-16 21:22:34,0.1600938014028358,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
C24211332442813,SG,14591928231433,SGD,2021-10-08 13:33:40,0.029693287702405,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
C24211332442813,SG,14591928231433,EUR,2021-10-11 13:32:49,-0.0219209497814679,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
