customer,customer_country,fraud_flag,timestamp,counterparty,counterparty_country,type,ccy,amount,hr_rounded,converted_time,converted_amount,scaled_amount
C12976926337644,UK,N,2021-11-13 20:49:44,26798388125766,DE,BILLING,EUR,47346.51,21,2021-11-13 12:49:44,47346.51,-0.041401355177434804
C12976926337644,UK,N,2021-11-06 18:47:51,26798388125766,DE,DIVIDEND,GBP,42046.8,19,2021-11-06 10:47:51,47933.352,-0.03958737223150401
C12976926337644,UK,N,2021-06-10 12:48:20,15992448148323,FR,BILLING,INR,55554.43,13,2021-06-10 04:48:20,666.6531600000001,-0.1856931138215864
C12976926337644,UK,N,2021-01-30 15:52:19,15992448148323,FR,TRANSFER,GBP,34057.79,16,2021-01-30 07:52:19,38825.8806,-0.0677394094070172
C12976926337644,UK,N,2021-08-07 15:06:35,15992448148323,FR,TT,EUR,55242.43,15,2021-08-07 07:06:35,55242.43,-0.016994335532566306
C12976926337644,UK,N,2021-07-28 23:53:27,68147528612978,UK,TRANSFER,GBP,49620.13,0,2021-07-28 15:53:27,56566.94819999999,-0.012900127165791355
C12976926337644,UK,N,2021-09-01 17:40:30,68147528612978,UK,TRANSFER,HKD,346606.86,18,2021-09-01 09:40:30,45058.8918,-0.04847259479832241
C12976926337644,UK,N,2021-09-10 01:14:38,68147528612978,UK,TRANSFER,HKD,346016.46,1,2021-09-09 17:14:38,44982.139800000004,-0.04870984233525069
C12976926337644,UK,N,2021-10-21 00:02:32,68147528612978,UK,TRANSFER,HKD,347474.61,0,2021-10-20 16:02:32,45171.6993,-0.048123896373238495
C12976926337644,UK,N,2021-05-11 20:57:47,68147528612978,UK,TT,GBP,27010.18,21,2021-05-11 12:57:47,30791.605199999998,-0.09257409840083727
C12976926337644,UK,N,2021-06-19 10:52:00,68147528612978,UK,TT,GBP,26970.08,11,2021-06-19 02:52:00,30745.8912,-0.09271540460657966
C12976926337644,UK,N,2021-06-27 13:01:02,68147528612978,UK,TT,GBP,27013.86,13,2021-06-27 05:01:02,30795.800399999996,-0.09256113064928785
C14368611669296,US,N,2021-01-09 04:13:21,97272147577377,BR,INVESTMENT,HKD,380983.92,4,2021-01-08 16:13:21,49527.9096,-0.03465844708179703
C14368611669296,US,N,2021-03-12 04:56:46,97272147577377,BR,INVESTMENT,USD,65514.18,5,2021-03-11 16:56:46,65514.18,0.014756594572751133
C14368611669296,US,N,2021-04-12 03:48:57,97272147577377,BR,INVESTMENT,BRL,343444.57,4,2021-04-11 15:48:57,68688.914,0.02456999125169824
C14368611669296,US,N,2021-04-24 00:11:33,97272147577377,BR,INVESTMENT,BRL,344268.16,0,2021-04-23 12:11:33,68853.632,0.02507914983763418
C14368611669296,US,N,2021-06-01 06:46:42,97272147577377,BR,INVESTMENT,USD,65162.79,7,2021-05-31 18:46:42,65162.79,0.013670415554598678
C14368611669296,US,N,2021-06-19 08:19:17,97272147577377,BR,INVESTMENT,BRL,342895.61,8,2021-06-18 20:19:17,68579.122,0.024230614016259
C14368611669296,US,N,2021-09-12 18:58:21,97272147577377,BR,INVESTMENT,USD,64689.27,19,2021-09-12 06:58:21,64689.27,0.012206721400879006
C14368611669296,US,N,2021-10-04 00:56:29,97272147577377,BR,INVESTMENT,HKD,379577.1,1,2021-10-03 12:56:29,49345.023,-0.03522376649219926
C14368611669296,US,N,2021-11-02 21:35:08,97272147577377,BR,INVESTMENT,HKD,381071.57,22,2021-11-02 09:35:08,49539.3041,-0.0346232256275088
C14368611669296,US,N,2021-11-09 00:27:27,97272147577377,BR,INVESTMENT,HKD,380321.29,0,2021-11-08 12:27:27,49441.7677,-0.03492471966884785
C14368611669296,US,N,2021-12-09 16:16:15,97272147577377,BR,INVESTMENT,USD,64860.45,16,2021-12-09 04:16:15,64860.45,0.01273585462700194
C14368611669296,US,N,2021-02-17 04:33:57,97272147577377,BR,TRANSFER,BRL,29281.39,5,2021-02-16 16:33:57,5856.278,-0.16965150303786802
C14368611669296,US,N,2021-05-06 06:21:30,97272147577377,BR,TRANSFER,USD,40237.26,6,2021-05-05 18:21:30,40237.26,-0.06337670503030583
C14368611669296,US,N,2021-07-10 08:31:42,97272147577377,BR,TRANSFER,HKD,591658.96,9,2021-07-09 20:31:42,76915.6648,0.049999639524355204
C14368611669296,US,N,2021-07-23 17:06:41,97272147577377,BR,TRANSFER,USD,40365.19,17,2021-07-23 05:06:41,40365.19,-0.06298126155783296
C14368611669296,US,N,2021-08-12 01:20:09,97272147577377,BR,TRANSFER,CNY,29081.04,1,2021-08-11 13:20:09,4071.3456000000006,-0.1751688943173595
C14368611669296,US,N,2021-11-28 01:47:17,97272147577377,BR,TRANSFER,BRL,29202.15,2,2021-11-27 13:47:17,5840.43,-0.16970049067291648
C14368611669296,US,N,2021-11-28 19:25:58,97272147577377,BR,TRANSFER,HKD,591235.67,19,2021-11-28 07:25:58,76860.6371,0.049829543809744144
C14368611669296,US,N,2021-12-17 05:57:07,97272147577377,BR,TRANSFER,USD,40027.16,6,2021-12-16 17:57:07,40027.16,-0.06402614357925096
C14368611669296,US,N,2021-07-31 05:00:49,97272147577377,BR,TT,USD,380105.58,5,2021-07-30 17:00:49,380105.58,0.9871877336808837
C14368611669296,US,N,2021-01-15 00:52:11,87169262386514,DE,BILLING,USD,61505.59,1,2021-01-14 12:52:11,61505.59,0.002365671807801192
C14368611669296,US,N,2021-04-15 05:35:30,87169262386514,DE,OTHER,JPY,48467.37,6,2021-04-14 17:35:30,329.578116,-0.1867350439856082
C14368611669296,US,N,2021-04-22 22:21:43,87169262386514,DE,PAYMENT,EUR,48238.08,22,2021-04-22 10:21:43,48238.08,-0.038645429774850255
C14368611669296,US,N,2021-01-31 04:49:32,24491887744377,JP,INVESTMENT,JPY,8491616.97,5,2021-01-30 16:49:32,57742.995396,-0.009264856416332814
C14368611669296,US,N,2021-03-21 00:07:55,24491887744377,JP,INVESTMENT,USD,59247.9,0,2021-03-20 12:07:55,59247.9,-0.004613056976434597
C14368611669296,US,N,2021-03-28 23:28:00,24491887744377,JP,INVESTMENT,USD,59278.8,23,2021-03-28 11:28:00,59278.8,-0.0045175422160233375
C14368611669296,US,N,2021-05-17 03:16:08,24491887744377,JP,INVESTMENT,JPY,8495017.61,3,2021-05-16 15:16:08,57766.11974799999,-0.009193376903680881
C14368611669296,US,N,2021-06-11 03:05:30,24491887744377,JP,INVESTMENT,JPY,8000000.0,3,2021-06-10 15:05:30,54400.0,-0.019598364646263834
C14368611669296,US,N,2021-06-17 19:29:44,24491887744377,JP,INVESTMENT,USD,59678.97,19,2021-06-17 07:29:44,59678.97,-0.0032805797023090413
C14368611669296,US,N,2021-06-26 22:37:38,24491887744377,JP,INVESTMENT,USD,59527.84,23,2021-06-26 10:37:38,59527.84,-0.003747736522404621
C14368611669296,US,N,2021-07-01 06:24:05,24491887744377,JP,INVESTMENT,USD,59312.74,6,2021-06-30 18:24:05,59312.74,-0.00441263053419947
C14368611669296,US,N,2021-08-25 04:56:51,24491887744377,JP,INVESTMENT,JPY,8495133.35,5,2021-08-24 16:56:51,57766.90678,-0.009190944114913351
C14368611669296,US,N,2021-08-28 04:20:01,24491887744377,JP,INVESTMENT,CNY,8490800.82,4,2021-08-27 16:20:01,1188712.1148,3.486665385408947
C14368611669296,US,N,2021-09-29 01:54:30,24491887744377,JP,INVESTMENT,JPY,8490432.77,2,2021-09-28 13:54:30,57734.942835999995,-0.00928974762471785
C14368611669296,US,N,2021-12-05 01:37:23,24491887744377,JP,INVESTMENT,JPY,8490570.78,2,2021-12-04 13:37:23,57735.881303999995,-0.00928684673325592
C14368611669296,US,N,2021-12-07 07:09:48,24491887744377,JP,INVESTMENT,USD,59490.5,7,2021-12-06 19:09:48,59490.5,-0.003863157918966302
C14368611669296,US,N,2021-12-21 07:07:30,24491887744377,JP,INVESTMENT,JPY,8499225.11,7,2021-12-20 19:07:30,57794.730747999994,-0.009104937654162214
C14368611669296,US,N,2021-11-15 07:14:41,24491887744377,JP,PAYMENT,USD,4111523.68,7,2021-11-14 19:14:41,4111523.68,12.521346497943682
C14368611669296,US,N,2021-01-06 02:05:16,24491887744377,JP,TT,USD,47272.52,2,2021-01-05 14:05:16,47272.52,-0.04163006511668494
C14368611669296,US,N,2021-01-28 21:05:45,24491887744377,JP,TT,JPY,4108434.38,21,2021-01-28 09:05:45,27937.353784,-0.10139685374558566
C14368611669296,US,N,2021-03-25 23:42:25,24491887744377,JP,TT,JPY,4112119.2,0,2021-03-25 11:42:25,27962.41056,-0.10131940093146533
C14368611669296,US,N,2021-05-15 17:37:32,24491887744377,JP,TT,USD,46632.26,18,2021-05-15 05:37:32,46632.26,-0.04360916804551697
C14368611669296,US,N,2021-06-10 06:09:21,24491887744377,JP,TT,USD,47260.82,6,2021-06-09 18:09:21,47260.82,-0.04166623089975327
C14368611669296,US,N,2021-07-03 01:32:00,24491887744377,JP,TT,JPY,4115166.48,2,2021-07-02 13:32:00,27983.132063999998,-0.10125534884441287
C14368611669296,US,N,2021-07-29 05:00:23,24491887744377,JP,TT,JPY,4108926.98,5,2021-07-28 17:00:23,27940.703464,-0.10138649957462598
C14368611669296,US,N,2021-08-27 23:01:55,24491887744377,JP,TT,JPY,4116240.82,23,2021-08-27 11:01:55,27990.437575999997,-0.10123276683055005
C14368611669296,US,N,2021-11-15 00:48:48,24491887744377,JP,TT,USD,47586.99,1,2021-11-14 12:48:48,47586.99,-0.0406580092362148
C17694553858863,UK,N,2021-01-26 02:59:01,12432156737458,FR,DIVIDEND,BRL,11819.83,3,2021-01-25 18:59:01,2363.966,-0.18044656271299264
C17694553858863,UK,N,2021-06-14 20:54:56,12432156737458,FR,DIVIDEND,GBP,59801.33,21,2021-06-14 12:54:56,68173.5162,0.022976848941552983
C17694553858863,UK,N,2021-02-21 22:11:28,12432156737458,FR,INVESTMENT,GBP,1284.95,22,2021-02-21 14:11:28,1464.8429999999998,-0.18322583513775798
C17694553858863,UK,N,2021-04-05 10:16:34,12432156737458,FR,INVESTMENT,EUR,60195.95,10,2021-04-05 02:16:34,60195.95,-0.0016825466654996487
C17694553858863,UK,N,2021-05-07 07:20:24,12432156737458,FR,INVESTMENT,GBP,1251.31,7,2021-05-06 23:20:24,1426.4933999999998,-0.1833443773013783
C17694553858863,UK,N,2021-06-09 01:55:30,12432156737458,FR,INVESTMENT,GBP,1285.58,2,2021-06-08 17:55:30,1465.5611999999999,-0.18322361511507426
C17694553858863,UK,N,2021-06-23 21:55:23,12432156737458,FR,INVESTMENT,GBP,1307.8,22,2021-06-23 13:55:23,1490.8919999999998,-0.18314531526740352
C17694553858863,UK,N,2021-07-06 01:57:07,12432156737458,FR,INVESTMENT,EUR,60405.53,2,2021-07-05 17:57:07,60405.53,-0.0010347154846908786
C17694553858863,UK,N,2021-07-24 02:49:40,12432156737458,FR,INVESTMENT,EUR,60293.22,3,2021-07-23 18:49:40,60293.22,-0.0013818760912212291
C17694553858863,UK,N,2021-07-25 00:31:52,12432156737458,FR,INVESTMENT,GBP,1284.82,1,2021-07-24 16:31:52,1464.6947999999998,-0.18322629323767686
C17694553858863,UK,N,2021-09-26 18:45:50,12432156737458,FR,INVESTMENT,EUR,59769.87,19,2021-09-26 10:45:50,59769.87,-0.00299959938770117
C17694553858863,UK,N,2021-09-27 18:32:23,12432156737458,FR,INVESTMENT,EUR,60131.74,19,2021-09-27 10:32:23,60131.74,-0.00188102571941572
C17694553858863,UK,N,2021-10-23 11:36:22,12432156737458,FR,INVESTMENT,EUR,59950.53,12,2021-10-23 03:36:22,59950.53,-0.002441162604015184
C17694553858863,UK,N,2021-01-20 02:16:49,12432156737458,FR,TRANSFER,GBP,12061.13,2,2021-01-19 18:16:49,13749.688199999999,-0.14525224141713158
C17694553858863,UK,N,2021-01-31 21:33:37,12432156737458,FR,TRANSFER,EUR,42778.64,22,2021-01-31 13:33:37,42778.64,-0.055521064194902756
C17694553858863,UK,N,2021-02-08 19:20:53,12432156737458,FR,TRANSFER,EUR,42697.04,19,2021-02-08 11:20:53,42697.04,-0.05577329734861015
C17694553858863,UK,N,2021-03-08 05:24:15,12432156737458,FR,TRANSFER,GBP,11951.48,5,2021-03-07 21:24:15,13624.687199999998,-0.1456386310794671
C17694553858863,UK,N,2021-03-24 22:09:50,12432156737458,FR,TRANSFER,EUR,42707.1,22,2021-03-24 14:09:50,42707.1,-0.05574220095735652
C17694553858863,UK,N,2021-06-25 01:33:42,12432156737458,FR,TRANSFER,GBP,11945.66,2,2021-06-24 17:33:42,13618.052399999999,-0.14565913986045015
C17694553858863,UK,N,2021-06-26 03:58:33,12432156737458,FR,TRANSFER,EUR,42670.29,4,2021-06-25 19:58:33,42670.29,-0.05585598407485613
C17694553858863,UK,N,2021-08-18 18:50:49,12432156737458,FR,TRANSFER,EUR,42771.03,19,2021-08-18 10:50:49,42771.03,-0.05554458740936003
C17694553858863,UK,N,2021-09-05 00:03:11,12432156737458,FR,TRANSFER,GBP,12152.37,0,2021-09-04 16:03:11,13853.701799999999,-0.1449307257509985
C17694553858863,UK,N,2021-09-24 17:22:31,12432156737458,FR,TRANSFER,EUR,42491.29,17,2021-09-24 09:22:31,42491.29,-0.05640928964487603
C17694553858863,UK,N,2021-10-02 20:35:15,12432156737458,FR,TRANSFER,GBP,11968.4,21,2021-10-02 12:35:15,13643.975999999999,-0.14557900761310394
C17694553858863,UK,N,2021-11-03 12:43:49,12432156737458,FR,TRANSFER,GBP,11855.77,13,2021-11-03 04:43:49,13515.5778,-0.14597589833511807
C17694553858863,UK,N,2021-11-16 00:42:32,12432156737458,FR,TRANSFER,EUR,42890.37,1,2021-11-15 16:42:32,42890.37,-0.05517569642206296
C17694553858863,UK,N,2021-11-28 20:35:36,12432156737458,FR,TRANSFER,EUR,43000.0,21,2021-11-28 12:35:36,43000.0,-0.05483681994362006
C17694553858863,UK,N,2021-03-01 17:11:27,35713689319772,IN,BILLING,INR,170728.95,17,2021-03-01 09:11:27,2048.7474,-0.18142093258536066
C17694553858863,UK,N,2021-03-19 22:29:32,35713689319772,IN,BILLING,GBP,48387.67,22,2021-03-19 14:29:32,55161.943799999994,-0.017243125827369313
C17694553858863,UK,N,2021-04-17 21:49:41,35713689319772,IN,BILLING,JPY,6853423.71,22,2021-04-17 13:49:41,46603.281228,-0.043698744112332266
C17694553858863,UK,N,2021-04-24 21:43:23,35713689319772,IN,BILLING,GBP,48566.48,22,2021-04-24 13:43:23,55365.7872,-0.01661302700819727
C17694553858863,UK,N,2021-06-26 23:09:46,35713689319772,IN,BILLING,GBP,47993.14,23,2021-06-26 15:09:46,54712.179599999996,-0.018633388604215904
C17694553858863,UK,N,2021-07-22 13:49:39,35713689319772,IN,BILLING,GBP,49000.0,14,2021-07-22 05:49:39,55859.99999999999,-0.015085369494146303
C17694553858863,UK,N,2021-10-07 15:17:25,35713689319772,IN,BILLING,GBP,49084.11,15,2021-10-07 07:17:25,55955.8854,-0.014788978846640221
C17694553858863,UK,N,2021-10-24 17:35:11,35713689319772,IN,BILLING,INR,168953.98,18,2021-10-24 09:35:11,2027.4477600000002,-0.1814867717443071
C17694553858863,UK,N,2021-04-28 18:01:16,35713689319772,IN,DIVIDEND,HKD,4199.61,18,2021-04-28 10:01:16,545.9493,-0.1860662206263959
C17694553858863,UK,N,2021-01-08 10:03:21,35713689319772,IN,PAYMENT,GBP,4139.09,10,2021-01-08 02:03:21,4718.5626,-0.17316828665751838
C17694553858863,UK,N,2021-01-25 02:27:50,35713689319772,IN,PAYMENT,JPY,4449094.07,2,2021-01-24 18:27:50,30253.839676,-0.09423638141644546
C17694553858863,UK,N,2021-02-10 00:48:46,35713689319772,IN,PAYMENT,INR,202587.13,1,2021-02-09 16:48:46,2431.04556,-0.18023921358348158
C17694553858863,UK,N,2021-04-27 21:11:53,35713689319772,IN,PAYMENT,JPY,4451195.67,21,2021-04-27 13:11:53,30268.130555999996,-0.09419220698345951
C17694553858863,UK,N,2021-05-25 02:24:35,35713689319772,IN,PAYMENT,GBP,4186.64,2,2021-05-24 18:24:35,4772.7696,-0.17300072780257944
C17694553858863,UK,N,2021-06-26 19:18:53,35713689319772,IN,PAYMENT,INR,202587.68,19,2021-06-26 11:18:53,2431.05216,-0.1802391931822706
C17694553858863,UK,N,2021-07-07 01:24:57,35713689319772,IN,PAYMENT,GBP,4243.52,1,2021-07-06 17:24:57,4837.6128,-0.17280029146884807
C17694553858863,UK,N,2021-08-20 22:35:44,35713689319772,IN,PAYMENT,INR,201973.5,23,2021-08-20 14:35:44,2423.6820000000002,-0.1802619750290859
C17694553858863,UK,N,2021-08-25 11:57:49,35713689319772,IN,PAYMENT,GBP,4135.46,12,2021-08-25 03:57:49,4714.4244,-0.17318107821679132
C17694553858863,UK,N,2021-09-15 13:03:35,35713689319772,IN,PAYMENT,JPY,4448630.31,13,2021-09-15 05:03:35,30250.686107999994,-0.09424612938705908
C17694553858863,UK,N,2021-12-02 01:31:55,35713689319772,IN,PAYMENT,GBP,4235.64,2,2021-12-01 17:31:55,4828.6296,-0.17282805937162238
C17694553858863,UK,N,2021-12-17 17:36:04,35713689319772,IN,PAYMENT,INR,202057.04,18,2021-12-17 09:36:04,2424.6844800000003,-0.18025887627060638
C17694553858863,UK,N,2021-11-29 18:41:36,35713689319772,IN,TRANSFER,SGD,4289.79,19,2021-11-29 10:41:36,3045.7509,-0.17833910247430296
C17694553858863,UK,N,2021-01-16 02:00:05,22337579725766,UK,BILLING,GBP,58746.56,2,2021-01-15 18:00:05,66971.0784,0.019260002392153742
C17694553858863,UK,N,2021-02-28 18:42:56,22337579725766,UK,BILLING,GBP,59044.94,19,2021-02-28 10:42:56,67311.2316,0.02031144742131626
C17694553858863,UK,N,2021-03-23 22:22:18,22337579725766,UK,BILLING,GBP,58786.02,22,2021-03-23 14:22:18,67016.06279999999,0.019399053336757066
C17694553858863,UK,N,2021-01-22 04:55:39,39759392734937,UK,INVESTMENT,GBP,7000.0,5,2021-01-21 20:55:39,7979.999999999999,-0.16308688174304242
C17694553858863,UK,N,2021-12-06 13:33:16,39759392734937,UK,INVESTMENT,GBP,7292.97,14,2021-12-06 05:33:16,8313.9858,-0.16205450071819577
C17694553858863,UK,N,2021-07-29 19:38:08,22337579725766,UK,OTHER,GBP,46070.69,20,2021-07-29 11:38:08,52520.586599999995,-0.025407805442856153
C24211332442813,SG,N,2021-09-20 10:10:17,14591928231433,DE,DIVIDEND,SGD,64050.12,10,2021-09-20 10:10:17,45475.5852,-0.04718455692563789
C24211332442813,SG,N,2021-03-06 10:08:46,14591928231433,DE,INTEREST,HKD,64049.47,10,2021-03-06 10:08:46,8326.4311,-0.16201603114383506
C24211332442813,SG,N,2021-04-09 18:10:26,48523246629825,DE,INTEREST,EUR,27581.67,18,2021-04-09 18:10:26,27581.67,-0.10249630524755746
C24211332442813,SG,N,2021-01-29 23:15:11,48523246629825,DE,INVESTMENT,SGD,100325.05,23,2021-01-29 23:15:11,71230.7855,0.03242715135909943
C24211332442813,SG,N,2021-03-30 20:54:34,48523246629825,DE,INVESTMENT,SGD,100357.19,21,2021-03-30 20:54:34,71253.60489999999,0.032497688236889984
C24211332442813,SG,N,2021-05-06 19:04:33,48523246629825,DE,INVESTMENT,EUR,64554.68,19,2021-05-06 19:04:33,64554.68,0.011790691251890317
C24211332442813,SG,N,2021-10-15 12:36:22,48523246629825,DE,INVESTMENT,SGD,100532.27,13,2021-10-15 12:36:22,71377.9117,0.03288193206276346
C24211332442813,SG,N,2021-10-16 10:44:37,48523246629825,DE,INVESTMENT,SGD,99789.44,11,2021-10-16 10:44:37,70850.5024,0.03125166109421434
C24211332442813,SG,N,2021-12-04 08:37:05,48523246629825,DE,INVESTMENT,SGD,100173.45,9,2021-12-04 08:37:05,71123.1495,0.03209443851924099
C24211332442813,SG,N,2021-01-06 15:19:52,14591928231433,DE,PAYMENT,SGD,64213.56,15,2021-01-06 15:19:52,45591.62759999999,-0.0468258591251995
C24211332442813,SG,N,2021-01-31 17:19:51,14591928231433,DE,PAYMENT,EUR,71473.23,17,2021-01-31 17:19:51,71473.23,0.0331765697516731
C24211332442813,SG,N,2021-02-01 07:56:11,14591928231433,DE,PAYMENT,EUR,72281.53,8,2021-02-01 07:56:11,72281.53,0.03567509987595847
C24211332442813,SG,N,2021-02-05 10:20:33,14591928231433,DE,PAYMENT,SGD,63669.29,10,2021-02-05 10:20:33,45205.1959,-0.048020355281860126
C24211332442813,SG,N,2021-02-22 12:02:25,14591928231433,DE,PAYMENT,EUR,72172.56,12,2021-02-22 12:02:25,72172.56,0.03533826351861171
C24211332442813,SG,N,2021-04-22 07:28:51,14591928231433,DE,PAYMENT,SGD,63886.38,7,2021-04-22 07:28:51,45359.32979999999,-0.047543913128793726
C24211332442813,SG,N,2021-04-30 11:31:33,14591928231433,DE,PAYMENT,EUR,72244.37,12,2021-04-30 11:31:33,72244.37,0.03556023487605935
C24211332442813,SG,N,2021-06-03 04:25:15,14591928231433,DE,PAYMENT,SGD,63978.63,4,2021-06-03 04:25:15,45424.8273,-0.047341454293193835
C24211332442813,SG,N,2021-10-08 04:40:21,14591928231433,DE,PAYMENT,SGD,64350.13,5,2021-10-08 04:40:21,45688.5923,-0.04652613226148269
C24211332442813,SG,N,2021-11-18 19:00:40,14591928231433,DE,PAYMENT,SGD,63872.19,19,2021-11-18 19:00:40,45349.2549,-0.04757505557732663
C24211332442813,SG,N,2021-11-26 10:20:43,14591928231433,DE,PAYMENT,EUR,72711.57,10,2021-11-26 10:20:43,72711.57,0.037004393324737005
C24211332442813,SG,N,2021-04-22 10:51:32,48523246629825,DE,TRANSFER,EUR,66776.03,11,2021-04-22 10:51:32,66776.03,0.01865708973213437
C24211332442813,SG,N,2021-04-28 16:45:06,48523246629825,DE,TRANSFER,EUR,66629.14,17,2021-04-28 16:45:06,66629.14,0.018203039144535367
C24211332442813,SG,N,2021-05-10 06:15:40,48523246629825,DE,TRANSFER,SGD,28000.0,6,2021-05-10 06:15:40,19880.0,-0.12630288016071442
C24211332442813,SG,N,2021-05-12 13:17:34,48523246629825,DE,TRANSFER,SGD,27835.02,13,2021-05-12 13:17:34,19762.8642,-0.1266649577617688
C24211332442813,SG,N,2021-05-17 16:36:01,48523246629825,DE,TRANSFER,SGD,27725.97,17,2021-05-17 16:36:01,19685.4387,-0.126904287149543
C24211332442813,SG,N,2021-07-11 11:31:47,14591928231433,DE,TRANSFER,GBP,98982.21,12,2021-07-11 11:31:47,112839.7194,0.16104421778066083
C24211332442813,SG,N,2021-09-17 16:48:14,48523246629825,DE,TRANSFER,SGD,27469.24,17,2021-09-17 16:48:14,19503.1604,-0.1274677262483349
C24211332442813,SG,N,2021-11-15 19:33:45,48523246629825,DE,TRANSFER,SGD,27751.65,20,2021-11-15 19:33:45,19703.6715,-0.12684792787693372
C24211332442813,SG,N,2021-12-26 17:18:10,48523246629825,DE,TRANSFER,GBP,66760.95,17,2021-12-26 17:18:10,76107.483,0.047501474767211595
C24211332442813,SG,N,2021-02-07 23:25:57,14591928231433,DE,TT,EUR,53242.4,23,2021-02-07 23:25:57,53242.4,-0.023176613405230456
C24211332442813,SG,N,2021-03-07 14:33:42,14591928231433,DE,TT,EUR,53462.98,15,2021-03-07 14:33:42,53462.98,-0.02249478020615231
C24211332442813,SG,N,2021-03-19 05:49:30,14591928231433,DE,TT,GBP,53062.46,6,2021-03-19 05:49:30,60491.204399999995,-0.0007698879834165204
C24211332442813,SG,N,2021-06-10 15:52:34,14591928231433,DE,TT,EUR,53269.72,16,2021-06-10 15:52:34,53269.72,-0.0230921647562196
C24211332442813,SG,N,2021-07-20 09:57:10,14591928231433,DE,TT,CNY,99536.18,10,2021-07-20 09:57:10,13935.065200000001,-0.14467922394979313
C24211332442813,SG,N,2021-08-10 20:09:04,14591928231433,DE,TT,EUR,53242.98,20,2021-08-10 20:09:04,53242.98,-0.023174820571539884
C24211332442813,SG,N,2021-09-09 08:26:19,14591928231433,DE,TT,SGD,99728.89,8,2021-09-09 08:26:19,70807.5119,0.031118773479086183
C24211332442813,SG,N,2021-09-16 21:22:34,14591928231433,DE,TT,GBP,98712.5,21,2021-09-16 21:22:34,112532.24999999999,0.1600938014028358
C24211332442813,SG,N,2021-10-08 13:33:40,14591928231433,DE,TT,SGD,99079.37,14,2021-10-08 13:33:40,70346.35269999999,0.029693287702405053
C24211332442813,SG,N,2021-10-11 13:32:49,14591928231433,DE,TT,EUR,53648.62,14,2021-10-11 13:32:49,53648.62,-0.021920949781467993
C24211332442813,SG,N,2021-11-08 16:23:14,14591928231433,DE,TT,SGD,99266.18,16,2021-11-08 16:23:14,70478.98779999999,0.03010327507452877
C24211332442813,SG,N,2021-12-02 07:22:49,14591928231433,DE,TT,EUR,53364.37,7,2021-12-02 07:22:49,53364.37,-0.022799592844474442
C24211332442813,SG,N,2021-12-02 10:29:19,46181424259827,SG,BILLING,HKD,23252.37,10,2021-12-02 10:29:19,3022.8081,-0.17841002079291665
C24211332442813,SG,N,2021-01-05 07:19:18,46181424259827,SG,DIVIDEND,SGD,23065.85,7,2021-01-05 07:19:18,16376.753499999999,-0.1371317393875451
C24211332442813,SG,N,2021-02-06 11:28:47,46181424259827,SG,DIVIDEND,USD,23139.27,11,2021-02-06 11:28:47,23139.27,-0.11622817488027459
C24211332442813,SG,N,2021-02-09 06:43:20,46181424259827,SG,DIVIDEND,SGD,23272.66,7,2021-02-09 06:43:20,16523.5886,-0.1366778585009282
C24211332442813,SG,N,2021-03-08 17:01:01,46181424259827,SG,DIVIDEND,SGD,23000.0,17,2021-03-08 17:01:01,16330.0,-0.13727625878401395
C24211332442813,SG,N,2021-03-16 19:48:57,46181424259827,SG,DIVIDEND,SGD,23518.97,20,2021-03-16 19:48:57,16698.4687,-0.1361372879231872
